,0
191,139.33333333333337
702,139.33333333333337
327,139.33333333333337
715,139.3333333333334
28,139.6666666666666
464,139.6666666666666
489,139.66666666666663
375,139.66666666666663
539,139.66666666666666
694,139.66666666666666
53,139.66666666666666
310,139.66666666666666
798,139.66666666666669
477,139.66666666666669
297,139.66666666666669
342,139.6666666666667
784,139.6666666666667
154,139.99999999999994
504,139.99999999999997
955,140.0
853,140.0
245,140.0
64,140.00000000000003
15,140.00000000000003
353,140.00000000000003
220,140.00000000000003
288,140.00000000000003
774,140.00000000000003
668,140.00000000000003
703,140.0000000000001
147,140.3333333333333
827,140.33333333333331
746,140.33333333333331
480,140.33333333333334
454,140.33333333333334
891,140.33333333333337
51,140.33333333333343
407,140.33333333333343
550,140.33333333333343
620,140.6666666666666
302,140.6666666666666
74,140.6666666666666
124,140.6666666666666
753,140.66666666666663
608,140.66666666666663
518,140.66666666666666
59,140.66666666666666
919,140.66666666666666
236,140.66666666666666
247,140.66666666666669
560,140.66666666666669
559,140.66666666666669
721,140.6666666666667
73,140.6666666666668
376,140.99999999999997
412,140.99999999999997
776,140.99999999999997
86,140.99999999999997
254,140.99999999999997
315,141.0
344,141.0
235,141.00000000000003
822,141.00000000000003
56,141.00000000000006
469,141.3333333333333
335,141.33333333333331
481,141.33333333333331
529,141.33333333333331
796,141.33333333333334
908,141.33333333333334
27,141.33333333333334
611,141.33333333333334
279,141.33333333333337
818,141.6666666666666
800,141.66666666666663
58,141.66666666666663
362,141.66666666666663
732,141.66666666666663
10,141.66666666666666
525,141.66666666666669
658,141.99999999999994
940,141.99999999999994
387,142.0
446,142.00000000000003
867,142.00000000000006
179,142.33333333333323
313,142.3333333333333
134,142.33333333333331
338,142.33333333333331
177,142.33333333333334
914,142.33333333333334
425,142.33333333333337
364,142.33333333333337
939,142.66666666666663
45,142.66666666666663
434,142.66666666666666
80,142.66666666666669
731,142.66666666666669
418,142.66666666666674
951,142.66666666666683
256,142.9999999999999
373,142.99999999999994
98,142.99999999999997
794,142.99999999999997
117,143.00000000000006
157,143.00000000000006
102,143.00000000000009
295,143.3333333333333
819,143.3333333333333
650,143.33333333333331
44,143.33333333333334
562,143.66666666666654
368,143.66666666666666
677,143.66666666666666
405,143.66666666666669
578,143.99999999999991
133,144.0
39,144.00000000000003
341,144.00000000000006
621,144.00000000000009
258,144.3333333333333
439,144.33333333333331
963,144.33333333333334
398,144.6666666666666
152,144.66666666666663
771,144.66666666666663
948,144.66666666666663
916,144.66666666666666
828,144.66666666666666
168,144.66666666666669
767,144.6666666666667
848,145.0
748,145.00000000000003
291,145.00000000000006
554,145.00000000000009
459,145.33333333333331
601,145.33333333333331
156,145.33333333333334
462,145.33333333333337
830,145.33333333333337
392,145.6666666666666
428,145.6666666666666
26,145.66666666666663
175,145.66666666666663
96,145.66666666666666
372,145.66666666666666
520,145.66666666666669
631,145.6666666666667
104,145.66666666666674
910,145.6666666666668
91,145.99999999999994
662,145.99999999999997
151,146.00000000000003
52,146.33333333333326
628,146.33333333333326
426,146.3333333333333
958,146.3333333333333
